,station_id,year,month,data_variable,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
1668,MX000017004,2010,01,TMAX-9999,MX000017004201001TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,278,S-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,MX000017004,2010,01,TMIN-9999,MX000017004201001TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,145,S-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,MX000017004,2010,01,PRCP-9999,MX000017004201001PRCP-9999,-9999,-9999,-9999,0,S-9999,0,S-9999,-9999,-9999,-9999,0,S-9999,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S,0,S,0,S-9999,0,S,0,S,0,S,0,S,0,S,0,S-9999,,,,,,,,,,,,,,,,,,,,,
1671,MX000017004,2010,02,TMAX-9999,MX000017004201002TMAX-9999,273,S,241,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,297,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,299,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,MX000017004,2010,02,TMIN-9999,MX000017004201002TMIN-9999,144,S,144,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,134,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,107,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,MX000017004,2010,02,PRCP-9999,MX000017004201002PRCP-9999,0,S,0,S-9999,-9999,0,S,0,S-9999,0,S-9999,0,S-9999,0,S-9999,-9999,-9999,-9999,-9999,-9999,0,S-9999,-9999,0,S-9999,0,S-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,MX000017004,2010,03,TMAX-9999,MX000017004201003TMAX-9999,-9999,-9999,-9999,321,S-9999,-9999,-9999,-9999,345,S-9999,-9999,-9999,-9999,-9999,311,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,MX000017004,2010,03,TMIN-9999,MX000017004201003TMIN-9999,-9999,-9999,-9999,142,S-9999,-9999,-9999,-9999,168,S-9999,-9999,-9999,-9999,-9999,176,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,MX000017004,2010,03,PRCP-9999,MX000017004201003PRCP-9999,0,S-9999,0,S,0,S,0,S-9999,-9999,0,S,0,S,0,S,0,S,0,S-9999,-9999,0,S,0,S-9999,0,S,0,S-9999,-9999,0,S-9999,-9999,0,S,0,S-9999,-9999,0,S-9999,,,,,,,,,,,,,,,,,,,,,,,
1677,MX000017004,2010,04,TMAX-9999,MX000017004201004TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,363,S-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,MX000017004,2010,04,TMIN-9999,MX000017004201004TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,167,S-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
